date,time,no2Value,longitude,latitude,regionName
20-06-2019,07:29:08,2.08E-04,77.125,28.775,North
21-06-2019,07:10:04,2.44E-04,77.125,28.775,North
22-06-2019,06:51:02,1.35E-04,77.125,28.775,North
23-06-2019,08:13:29,1.51E-04,77.125,28.775,North
24-06-2019,07:54:26,1.52E-04,77.125,28.775,North
25-06-2019,07:35:22,1.30E-04,77.125,28.775,North
26-06-2019,07:16:20,1.32E-04,77.125,28.775,North
27-06-2019,06:57:16,1.10E-04,77.125,28.775,North
28-06-2019,06:38:13,1.07E-04,77.125,28.775,North
28-06-2019,08:19:42,1.11E-04,77.125,28.775,North
29-06-2019,08:00:39,1.20E-04,77.125,28.775,North
30-06-2019,07:41:36,1.19E-04,77.125,28.775,North
01-07-2019,07:22:32,1.58E-04,77.125,28.775,North
02-07-2019,07:03:29,1.13E-04,77.125,28.775,North
03-07-2019,06:44:25,1.81E-04,77.125,28.775,North
03-07-2019,08:25:54,1.34E-04,77.125,28.775,North
05-07-2019,07:47:45,1.63E-04,77.125,28.775,North
06-07-2019,07:28:42,2.17E-04,77.125,28.775,North
07-07-2019,07:09:38,9.61E-05,77.125,28.775,North
08-07-2019,06:50:33,2.28E-04,77.125,28.775,North
09-07-2019,08:12:58,1.12E-04,77.125,28.775,North
10-07-2019,07:53:53,1.11E-04,77.125,28.775,North
11-07-2019,07:34:49,1.09E-04,77.125,28.775,North
12-07-2019,07:15:46,9.42E-05,77.125,28.775,North
13-07-2019,06:56:42,8.64E-05,77.125,28.775,North
14-07-2019,06:37:37,1.11E-04,77.125,28.775,North
14-07-2019,08:19:07,9.17E-05,77.125,28.775,North
16-07-2019,07:40:59,1.26E-04,77.125,28.775,North
17-07-2019,07:21:55,1.59E-04,77.125,28.775,North
18-07-2019,07:02:49,1.41E-04,77.125,28.775,North
19-07-2019,06:43:46,2.05E-04,77.125,28.775,North
19-07-2019,08:25:15,1.56E-04,77.125,28.775,North
20-07-2019,08:06:11,1.17E-04,77.125,28.775,North
21-07-2019,07:47:07,1.40E-04,77.125,28.775,North
22-07-2019,07:28:01,1.50E-04,77.125,28.775,North
23-07-2019,07:08:57,1.17E-04,77.125,28.775,North
24-07-2019,06:49:51,1.61E-04,77.125,28.775,North
25-07-2019,08:12:17,1.46E-04,77.125,28.775,North
26-07-2019,07:53:12,1.33E-04,77.125,28.775,North
27-07-2019,07:34:06,1.44E-04,77.125,28.775,North
28-07-2019,07:15:01,1.16E-04,77.125,28.775,North
29-07-2019,06:55:55,9.29E-05,77.125,28.775,North
30-07-2019,06:36:50,8.60E-05,77.125,28.775,North
30-07-2019,08:18:19,6.16E-05,77.125,28.775,North
31-07-2019,07:59:13,1.18E-04,77.125,28.775,North
01-08-2019,07:40:09,1.30E-04,77.125,28.775,North
02-08-2019,07:21:03,2.00E-04,77.125,28.775,North
