date,no2Value,longitude,latitude,regionName,day,month,year,weekday
2019-04-30,0.1570386988222097,77.30505,28.64684584,Delhi,30,4,2019,1
2019-05-01,0.2249018508132361,77.30505,28.64684584,Delhi,1,5,2019,2
2019-05-02,0.15086932136848,77.30505,28.64684584,Delhi,2,5,2019,3
2019-05-03,0.2148065058889512,77.30505,28.64684584,Delhi,3,5,2019,4
2019-05-04,0.1878855860908581,77.30505,28.64684584,Delhi,4,5,2019,5
2019-05-05,0.1531127313516545,77.30505,28.64684584,Delhi,5,5,2019,6
2019-05-06,0.1542344363432417,77.30505,28.64684584,Delhi,6,5,2019,0
2019-05-07,0.1475042063937184,77.30505,28.64684584,Delhi,7,5,2019,1
2019-05-08,0.1744251261918115,77.30505,28.64684584,Delhi,8,5,2019,2
2019-05-09,0.1733034212002243,77.30505,28.64684584,Delhi,9,5,2019,3
2019-05-10,0.1531127313516545,77.30505,28.64684584,Delhi,10,5,2019,4
2019-05-11,0.1497476163768928,77.30505,28.64684584,Delhi,11,5,2019,5
2019-05-12,0.1553561413348289,77.30505,28.64684584,Delhi,12,5,2019,6
2019-05-13,0.2091979809310151,77.30505,28.64684584,Delhi,13,5,2019,0
2019-05-14,0.2215367358384744,77.30505,28.64684584,Delhi,14,5,2019,1
2019-05-15,0.1205832865956253,77.30505,28.64684584,Delhi,15,5,2019,2
2019-05-16,0.1878855860908581,77.30505,28.64684584,Delhi,16,5,2019,3
2019-05-17,0.1721817162086371,77.30505,28.64684584,Delhi,17,5,2019,4
2019-05-18,0.1620863712843522,77.30505,28.64684584,Delhi,18,5,2019,5
2019-05-19,0.1968592260235558,77.30505,28.64684584,Delhi,19,5,2019,6
2019-05-20,0.1833987661245092,77.30505,28.64684584,Delhi,20,5,2019,0
2019-05-21,0.166573191250701,77.30505,28.64684584,Delhi,21,5,2019,1
2019-05-22,0.069209197980931,77.30505,28.64684584,Delhi,22,5,2019,2
2019-05-23,0.1856421761076837,77.30505,28.64684584,Delhi,23,5,2019,3
2019-05-24,0.0927650028042624,77.30505,28.64684584,Delhi,24,5,2019,4
2019-05-25,0.1564778463264161,77.30505,28.64684584,Delhi,25,5,2019,5
2019-05-26,0.1486259113853056,77.30505,28.64684584,Delhi,26,5,2019,6
2019-05-27,0.1570386988222097,77.30505,28.64684584,Delhi,27,5,2019,0
2019-05-28,0.1800336511497476,77.30505,28.64684584,Delhi,28,5,2019,1
2019-05-29,0.197980931015143,77.30505,28.64684584,Delhi,29,5,2019,2
2019-05-30,0.2148065058889512,77.30505,28.64684584,Delhi,30,5,2019,3
2019-05-31,0.1845204711160964,77.30505,28.64684584,Delhi,31,5,2019,4
2019-06-01,0.1856421761076837,77.30505,28.64684584,Delhi,1,6,2019,5
2019-06-02,0.1811553561413348,77.30505,28.64684584,Delhi,2,6,2019,6
2019-06-03,0.1854552252757151,77.30505,28.64684584,Delhi,3,6,2019,0
2019-06-04,0.1688166012338755,77.30505,28.64684584,Delhi,4,6,2019,1
2019-06-05,0.166573191250701,77.30505,28.64684584,Delhi,5,6,2019,2
2019-06-06,0.2260235558048233,77.30505,28.64684584,Delhi,6,6,2019,3
2019-06-07,0.1934941110487941,77.30505,28.64684584,Delhi,7,6,2019,4
2019-06-08,0.2024677509814919,77.30505,28.64684584,Delhi,8,6,2019,5
2019-06-09,0.1968592260235558,77.30505,28.64684584,Delhi,9,6,2019,6
2019-06-10,0.2114413909141896,77.30505,28.64684584,Delhi,10,6,2019,0
2019-06-11,0.1261918115535614,77.30505,28.64684584,Delhi,11,6,2019,1
2019-06-12,0.1402131239484015,77.30505,28.64684584,Delhi,12,6,2019,2
2019-06-13,0.1744251261918115,77.30505,28.64684584,Delhi,13,6,2019,3
2019-06-14,0.1800336511497476,77.30505,28.64684584,Delhi,14,6,2019,4
2019-06-15,0.1676948962422882,77.30505,28.64684584,Delhi,15,6,2019,5
2019-06-16,0.1037577117218171,77.30505,28.64684584,Delhi,16,6,2019,6
2019-06-17,0.0582164890633763,77.30505,28.64684584,Delhi,17,6,2019,0
2019-06-18,0.1284352215367358,77.30505,28.64684584,Delhi,18,6,2019,1
2019-06-19,0.2237801458216489,77.30505,28.64684584,Delhi,19,6,2019,2
2019-06-20,0.2058328659562535,77.30505,28.64684584,Delhi,20,6,2019,3
2019-06-21,0.2249018508132361,77.30505,28.64684584,Delhi,21,6,2019,4
2019-06-22,0.1654514862591138,77.30505,28.64684584,Delhi,22,6,2019,5
2019-06-23,0.1575995513180033,77.30505,28.64684584,Delhi,23,6,2019,6
2019-06-24,0.1385305664610207,77.30505,28.64684584,Delhi,24,6,2019,0
2019-06-25,0.1777902411665732,77.30505,28.64684584,Delhi,25,6,2019,1
2019-06-26,0.2080762759394279,77.30505,28.64684584,Delhi,26,6,2019,2
2019-06-27,0.145260796410544,77.30505,28.64684584,Delhi,27,6,2019,3
2019-06-28,0.1407739764441951,77.30505,28.64684584,Delhi,28,6,2019,4
2019-06-29,0.1575995513180033,77.30505,28.64684584,Delhi,29,6,2019,5
2019-06-30,0.1418956814357823,77.30505,28.64684584,Delhi,30,6,2019,6
2019-07-01,0.1800336511497476,77.30505,28.64684584,Delhi,1,7,2019,0
2019-07-02,0.1800336511497476,77.30505,28.64684584,Delhi,2,7,2019,1
2019-07-03,0.1809684053093662,77.30505,28.64684584,Delhi,3,7,2019,2
2019-07-04,0.1811241976693213,77.30505,28.64684584,Delhi,4,7,2019,3
2019-07-05,0.1946158160403814,77.30505,28.64684584,Delhi,5,7,2019,4
2019-07-06,0.1946158160403814,77.30505,28.64684584,Delhi,6,7,2019,5
2019-07-07,0.1564778463264161,77.30505,28.64684584,Delhi,7,7,2019,6
2019-07-08,0.1699383062254627,77.30505,28.64684584,Delhi,8,7,2019,0
2019-07-09,0.1777902411665732,77.30505,28.64684584,Delhi,9,7,2019,1
2019-07-10,0.1228266965787997,77.30505,28.64684584,Delhi,10,7,2019,2
2019-07-11,0.1598429613011777,77.30505,28.64684584,Delhi,11,7,2019,3
2019-07-12,0.0988782950084127,77.30505,28.64684584,Delhi,12,7,2019,4
2019-07-13,0.113853056646102,77.30505,28.64684584,Delhi,13,7,2019,5
2019-07-14,0.108244531688166,77.30505,28.64684584,Delhi,14,7,2019,6
2019-07-15,0.1274350345858665,77.30505,28.64684584,Delhi,15,7,2019,0
2019-07-16,0.1676948962422882,77.30505,28.64684584,Delhi,16,7,2019,1
2019-07-17,0.1374088614694335,77.30505,28.64684584,Delhi,17,7,2019,2
2019-07-18,0.1385305664610207,77.30505,28.64684584,Delhi,18,7,2019,3
2019-07-19,0.1531127313516545,77.30505,28.64684584,Delhi,19,7,2019,4
2019-07-20,0.1486259113853056,77.30505,28.64684584,Delhi,20,7,2019,5
2019-07-21,0.1284352215367358,77.30505,28.64684584,Delhi,21,7,2019,6
2019-07-22,0.1407739764441951,77.30505,28.64684584,Delhi,22,7,2019,0
2019-07-23,0.166573191250701,77.30505,28.64684584,Delhi,23,7,2019,1
2019-07-24,0.2181716208637128,77.30505,28.64684584,Delhi,24,7,2019,2
2019-07-25,0.2809871003925968,77.30505,28.64684584,Delhi,25,7,2019,3
2019-07-26,0.2742568704430735,77.30505,28.64684584,Delhi,26,7,2019,4
2019-07-27,0.1127313516545148,77.30505,28.64684584,Delhi,27,7,2019,5
2019-07-28,0.0812114413909141,77.30505,28.64684584,Delhi,28,7,2019,6
2019-07-29,0.069994391475042,77.30505,28.64684584,Delhi,29,7,2019,0
2019-07-30,0.077453729669097,77.30505,28.64684584,Delhi,30,7,2019,1
2019-07-31,0.0999439147504206,77.30505,28.64684584,Delhi,31,7,2019,2
2019-08-01,0.1093662366797532,77.30505,28.64684584,Delhi,1,8,2019,3
2019-08-02,0.1475042063937184,77.30505,28.64684584,Delhi,2,8,2019,4
2019-08-03,0.1362871564778463,77.30505,28.64684584,Delhi,3,8,2019,5
2019-08-04,0.1402131239484015,77.30505,28.64684584,Delhi,4,8,2019,6
2019-08-05,0.1385305664610207,77.30505,28.64684584,Delhi,5,8,2019,0
2019-08-06,0.2372406057206954,77.30505,28.64684584,Delhi,6,8,2019,1
2019-08-07,0.1205832865956253,77.30505,28.64684584,Delhi,7,8,2019,2
2019-08-08,0.129556926528323,77.30505,28.64684584,Delhi,8,8,2019,3
2019-08-09,0.0762759394279304,77.30505,28.64684584,Delhi,9,8,2019,4
2019-08-10,0.0743690409422321,77.30505,28.64684584,Delhi,10,8,2019,5
